Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
1/25/2022,14350,14350,14363.5,14345.5,"0,16K",0.0007
1/24/2022,14340,14315,14353,14304.5,"0,12K",0.0003
1/21/2022,14335,14355,14362.5,14335,"0,16K",0
1/20/2022,14335,14335,14365,14330,"0,17K",-0.0017
1/19/2022,14360,14357.5,14377.5,14334.5,"0,15K",0.0017
1/18/2022,14335,14306.5,14346,14299,"0,18K",0.0014
1/17/2022,14315,14312.5,14330,14296.5,"0,11K",0.0014
1/14/2022,14295,14305,14319.5,14293,"0,15K",0.0003
1/13/2022,14290,14315,14322,14292,"0,20K",-0.0017
1/12/2022,14315,14295,14322.5,14284,"0,24K",0.001
1/11/2022,14300,14302.5,14315,14272.5,"0,21K",-0.0003
1/10/2022,14305,14312.5,14342.5,14296,"0,19K",-0.0035
1/7/2022,14355,14375,14377.5,14352.5,"0,12K",-0.0024
1/6/2022,14390,14394,14404,14377,"0,16K",0.0024
1/5/2022,14355,14347.5,14371.5,14335,"0,17K",0.0038
1/4/2022,14300,14287.5,14327.5,14270,"0,14K",0.0025
1/3/2022,14264,14255,14276.5,14249,"0,11K",0.001
12/31/2021,14250,14280,14287.5,14240,"0,09K",-0.0011
12/30/2021,14265,14242.5,14280,14237.5,"0,11K",0.0011
12/29/2021,14250,14240,14276.5,14235,"0,17K",0.0018
12/28/2021,14225,14225,14244.5,14220,"0,13K",0
12/27/2021,14225,14225,14241.5,14207.5,"0,14K",0.0004
12/24/2021,14220,14185,14242.5,14180,"0,10K",-0.0019
12/23/2021,14247,14220,14260,14217.5,"0,09K",-0.0027
12/22/2021,14285,14280,14293.5,14235,"0,14K",-0.002
12/21/2021,14313,14387.5,14392.5,14305,"0,11K",-0.0043
12/20/2021,14375,14387.5,14392.5,14367.5,"0,11K",0.0007
12/17/2021,14365,14365,14391.5,14360,"0,12K",0.0017
12/16/2021,14340,14335,14367.5,14315,"0,13K",0.0007
12/15/2021,14330,14337.5,14345,14329,"0,10K",0
12/14/2021,14330,14340,14353.5,14330,"0,09K",-0.0007
12/13/2021,14340,14357.5,14366.5,14327.5,"0,10K",-0.0021
12/10/2021,14370,14380,14390,14367,"0,13K",0.0014
12/9/2021,14350,14320,14372.5,14310,"0,15K",-0.0003
12/8/2021,14355,14350,14362.5,14335,"0,14K",-0.0014
12/7/2021,14375,14417.5,14432.5,14377.5,"0,16K",-0.0042
12/6/2021,14435,14440,14449,14417.5,"0,15K",0.0028
12/3/2021,14395,14405,14412.5,14392.5,"0,10K",0.0014
12/2/2021,14375,14350,14382.5,14350,"0,12K",0.0024
12/1/2021,14340,14344,14362.5,14334.5,"0,15K",0.0014
11/30/2021,14320,14315,14347.5,14292.5,"0,17K",0
11/29/2021,14320,14370,14375,14312.5,"0,09K",0.0014
11/26/2021,14300,14275,14345,14275,"0,10K",0.0025
11/25/2021,14265,14262.5,14290,14262.5,"0,15K",0.0007
11/24/2021,14255,14275,14281,14257.5,"0,10K",0
11/23/2021,14255,14257.5,14277.5,14255,"0,16K",0.0007
11/22/2021,14245,14245,14265,14245,"0,09K",0.0007
11/19/2021,14235,14210,14242.5,14210,"0,07K",0.0007
11/18/2021,14225,14245,14247.5,14223,"0,14K",-0.0011
11/17/2021,14240,14245,14272.5,14237.5,"0,16K",0.0014
11/16/2021,14220,14200,14226,14195,"0,12K",0.0007
11/15/2021,14210,14215,14220,14187.5,"0,10K",-0.0016
11/12/2021,14233,14265,14271.5,14232.5,"0,13K",-0.0019
11/11/2021,14260,14295,14310,14262.5,"0,12K",0.0007
11/10/2021,14250,14255,14265,14241,"0,12K",0.0007
11/9/2021,14240,14237.5,14247.5,14220,"0,14K",-0.0011
11/8/2021,14255,14325,14332.5,14254,"0,12K",-0.0049
11/5/2021,14325,14360,14392.5,14325,"0,13K",-0.0007
11/4/2021,14335,14312.5,14350,14299.5,"0,12K",0.0028
11/3/2021,14295,14272.5,14315,14262.5,"0,12K",0.0032
11/2/2021,14250,14260,14271,14245,"0,12K",0.0004
11/1/2021,14245,14185,14261.5,14185,"0,13K",0.0056
10/29/2021,14165,14167.5,14177.5,14157,"0,13K",-0.0004
10/28/2021,14170,14190,14215,14172.5,"0,13K",0
10/27/2021,14170,14160,14193.5,14154.5,"0,13K",0.0014
10/26/2021,14150,14155,14172.5,14142.5,"0,13K",-0.0004
10/25/2021,14155,14165,14190,14157.5,"0,14K",0.0025
10/22/2021,14120,14140,14169,14122.5,"0,14K",0
10/21/2021,14120,14100,14152.5,14092.5,"0,13K",0.0033
10/19/2021,14073,14067.5,14092.5,14059.5,"0,15K",-0.0023
10/18/2021,14105,14060,14115,14040,"0,10K",0.0025
10/15/2021,14070,14085,14097.5,14062,"0,18K",-0.0032
10/14/2021,14115,14197.5,14202.5,14092.5,"0,24K",-0.007
10/13/2021,14215,14220,14229,14210,"0,15K",0
10/12/2021,14215,14215,14225,14203,"0,14K",0.0007
10/11/2021,14205,14215,14223,14201.5,"0,14K",-0.0011
10/8/2021,14220,14210,14237.5,14197.5,"0,12K",0.0004
10/7/2021,14215,14250,14257.5,14212,"0,13K",-0.0025
